"YY","MM","DD","hh","WD","WSPD","GST","WVHT","DPD","APD","MWD","BAR","ATMP","WTMP","DEWP","VIS"
97,1,1,0,322,10.7,13.7,1.27,4.17,4.13,5,1024.9,-8.3,6.3,999,99
97,1,1,1,312,10.8,13.8,1.41,5.26,4.14,40,1026.2,-9.1,6.3,999,99
97,1,1,2,323,11.4,14,1.43,4.55,4.25,355,1026.8,-9.2,6.3,999,99
97,1,1,3,336,11.4,14.2,1.57,5.56,4.4,42,1027.3,-9.7,6.3,999,99
97,1,1,4,333,10.9,14,1.83,6.67,4.76,45,1027.6,-10.6,6.3,999,99
97,1,1,5,332,10.5,14,1.81,6.67,4.79,32,1027.7,-10.8,6.3,999,99
97,1,1,6,316,8.9,11.1,1.68,6.25,4.77,32,1028.2,-11,6.3,999,99
97,1,1,7,312,8.5,10.4,1.61,6.25,4.75,39,1028.8,-11.1,6.3,999,99
97,1,1,8,302,7.9,10.2,1.61,6.67,4.62,39,1028.7,-12.1,6.2,999,99
97,1,1,9,303,7.9,10.4,1.43,6.67,4.74,41,1028.4,-11.6,6.2,999,99
97,1,1,10,304,8,9.6,1.48,6.25,4.73,40,1028.8,-11.6,6.2,999,99
97,1,1,11,295,7,9.1,1.44,6.67,4.69,47,1029.5,-12.2,6.1,999,99
97,1,1,12,292,7.5,9.3,1.24,6.67,4.5,45,1029.9,-11.7,6,999,99
97,1,1,13,300,7.8,10.1,1.15,5.88,4.24,44,1030.3,-11.6,6,999,99
97,1,1,14,293,7.1,8.4,0.99,5.88,4.13,43,1029.8,-11.6,6,999,99
97,1,1,15,295,4.8,6.3,0.92,5.88,4.1,43,1029.9,-11.1,6,999,99
97,1,1,16,300,4.6,6.7,0.76,5.88,4.08,45,1028.8,-10.1,6,999,99
97,1,1,17,288,4.3,5.9,0.66,5.56,4.14,45,1027.6,-9.2,6,999,99
97,1,1,18,265,4.4,6.1,0.57,5.56,4.15,41,1026.4,-7.9,6,999,99
97,1,1,19,273,3.5,5,0.51,5,4.35,44,1025.7,-6.6,6,999,99
97,1,1,20,270,3.7,5,0.43,4.55,4.49,39,1025,-5.9,5.9,999,99
97,1,1,21,243,3.6,5.1,0.38,5,4.58,51,1025,-5.4,5.9,999,99
97,1,1,22,215,3.2,4.6,0.36,5.88,4.74,63,1024.3,-5,5.9,999,99
97,1,1,23,221,5,6.4,0.33,10,5.05,81,1024.3,-4.7,5.9,999,99
97,1,2,0,224,6.5,8.3,0.33,9.09,4.17,93,1024.3,-4.2,5.9,999,99
97,1,2,1,210,7.1,9.1,0.42,2.5,3.53,90,1022.8,-3.7,5.9,999,99
97,1,2,2,214,6.4,7.8,0.39,2.63,3.31,74,1021.6,-3.9,5.9,999,99
97,1,2,3,204,5,6.4,0.31,2.5,3.64,95,1019.7,-3.6,5.9,999,99
97,1,2,4,182,6.1,7.4,0.31,2.5,3.45,92,1019.6,-3.3,5.9,999,99
97,1,2,5,187,5.8,7.2,0.31,2.5,3.28,75,1018.1,-3,5.9,999,99
97,1,2,6,177,7,8.5,0.35,2.56,3.19,156,1016.5,-1.7,5.9,999,99
97,1,2,7,180,8.1,9.6,0.47,2.94,3.06,161,1015.6,-1.6,5.9,999,99
97,1,2,8,199,8,9.7,0.59,3.03,3.24,156,1014.5,-1,5.9,999,99
97,1,2,9,205,7.1,8.5,0.59,4.17,3.36,135,1013.4,-0.7,6,999,99
97,1,2,10,195,6.9,7.8,0.58,4.35,3.56,135,1011.9,0.1,6,999,99
97,1,2,11,184,6.7,8.1,0.53,4.35,3.48,138,1011,0.7,6,999,99
97,1,2,12,187,7.8,9.4,0.52,4.17,3.48,139,1010.2,1.2,6,999,99
