"YYYY","MM","DD","hh","WD","WSPD","GST","WVHT","DPD","APD","MWD","BAR","ATMP","WTMP","DEWP","VIS"
1999,1,1,0,221,5.4,7.2,0.33,11.11,5.25,999,1017.4,-4.3,5.6,999,99
1999,1,1,1,218,5.6,7.3,0.31,11.11,5.51,999,1016.5,-4,5.7,999,99
1999,1,1,2,226,5.7,7,0.32,12.5,6.53,999,1015.8,-3.9,5.7,999,99
1999,1,1,3,228,5.7,7.3,0.31,11.11,6.17,999,1015.3,-3.9,5.7,999,99
1999,1,1,4,237,5.9,7.7,0.39,11.11,5.02,999,1015,-3.8,5.6,999,99
1999,1,1,5,235,5.7,7.5,0.42,11.11,4.81,999,1014.9,-3.9,5.6,999,99
1999,1,1,6,237,6.2,8.8,0.51,11.11,3.75,999,1014.2,-3.7,5.8,999,99
1999,1,1,7,235,8,9.8,0.61,11.11,3.71,999,1014.2,-3.6,5.8,999,99
1999,1,1,8,235,6.4,8.1,0.51,10,3.69,999,1014.3,-3.8,5.6,999,99
1999,1,1,9,244,7.3,9.6,0.55,11.11,3.79,999,1014.1,-4.1,5.6,999,99
1999,1,1,10,244,6.4,8.3,0.54,2.94,3.57,999,1013.5,-4.6,5.6,999,99
1999,1,1,11,250,7.6,9.7,0.5,12.5,3.82,999,1013.4,-4.2,5.6,999,99
1999,1,1,12,242,7.1,9.4,0.57,3.23,3.62,999,1013.5,-4.7,5.6,999,99
1999,1,1,13,247,8,10.1,0.59,3.33,3.48,999,1013.4,-4.2,5.6,999,99
1999,1,1,14,249,9.3,12.3,0.66,3.33,3.61,999,1013.6,-4.3,5.6,999,99
1999,1,1,15,258,10.8,13.5,0.78,3.57,3.53,999,1014.1,-3.9,5.6,999,99
1999,1,1,16,265,12.9,16.7,1.16,4.17,3.77,999,1013.6,-2.7,5.6,999,99
1999,1,1,17,261,13.5,16.2,1.52,4.76,4.19,999,1013.5,-2.8,5.6,999,99
1999,1,1,18,270,13.6,18.4,1.4,4.55,4.08,999,1014.2,-2.9,5.6,999,99
1999,1,1,19,268,13.7,17.4,1.36,4.76,4.13,999,1015.1,-2.8,5.6,999,99
1999,1,1,20,287,14.8,19,1.26,4.55,3.91,999,1016.5,-2.9,5.6,999,99
1999,1,1,21,283,13.1,16.6,1.41,4.55,4.09,999,1018.5,-4.2,5.6,999,99
1999,1,1,22,283,13.1,17.9,1.41,4.76,4.09,999,1019.9,-4.9,5.6,999,99
1999,1,1,23,276,13.5,16,1.35,4.55,4.12,999,1021.8,-5.7,5.6,999,99
1999,1,2,0,284,13.1,16.6,1.41,4.76,4.16,999,1023.6,-6.3,5.6,999,99
1999,1,2,1,301,10.8,13.8,1.18,4.35,3.95,999,1025.5,-8.5,5.6,999,99
1999,1,2,2,297,12.3,15.4,1.35,4.55,4.08,999,1026.7,-9.4,5.6,999,99
1999,1,2,3,287,12,15.5,1.36,4.55,4.06,999,1028.3,-10.3,5.6,999,99
1999,1,2,4,296,12.7,15.8,1.23,4.17,3.96,999,1029.5,-11.1,5.5,999,99
1999,1,2,5,294,10.6,14.5,1.18,4.17,3.86,999,1031.2,-12,5.5,999,99
1999,1,2,6,282,10.9,14.5,1.04,4,3.74,999,1031.2,-12.5,5.5,999,99
1999,1,2,7,291,10.6,13.4,0.97,3.85,3.55,999,1032.1,-13.2,5.5,999,99
1999,1,2,8,302,10.2,12.5,1.01,3.7,3.6,999,1033,-13.6,5.5,999,99
1999,1,2,9,297,10.2,12.5,0.87,3.85,3.55,999,1032.2,-13.7,5.5,999,99
1999,1,2,10,286,11.6,15.1,0.97,4,3.65,999,1032.1,-13.6,5.5,999,99
1999,1,2,11,280,10.5,14.4,1.02,4,3.76,999,1032.5,-13.9,5.5,999,99
1999,1,2,12,272,9.5,11.9,1.06,4.17,3.77,999,1032.8,-14.2,5.5,999,99
