"YYYY","MM","DD","hh","WD","WSPD","GST","WVHT","DPD","APD","MWD","BAR","ATMP","WTMP","DEWP","VIS","TIDE"
2002,1,1,0,227,8.5,10.4,0.6,3.23,3.13,999,1012.9,0,6.7,-8.4,99,99
2002,1,1,1,234,9.5,11.5,0.66,3.13,3.09,999,1013.4,0,6.7,-8.3,99,99
2002,1,1,2,232,9.7,12.4,0.73,3.57,3.26,999,1013.9,-0.5,6.7,-8.1,99,99
2002,1,1,3,255,10.5,12.5,0.8,3.7,3.37,999,1013.5,-0.4,6.7,-8.1,99,99
2002,1,1,4,261,10.1,12.4,0.79,3.7,3.45,999,1013.4,-0.4,6.7,-8.5,99,99
2002,1,1,5,258,10.1,12.4,0.85,3.57,3.38,999,1013.4,-0.5,6.7,-7.1,99,99
2002,1,1,6,255,9.2,11.6,0.82,3.7,3.4,999,1013.4,-0.9,6.7,-7.2,99,99
2002,1,1,7,265,10.2,12.4,0.8,3.57,3.36,999,1013.5,-0.8,6.7,-7.7,99,99
2002,1,1,8,256,9,10.7,0.79,3.57,3.3,999,1013.7,-1.1,6.7,-7.4,99,99
2002,1,1,9,262,9.8,12,0.69,3.33,3.19,999,1013.5,-1.3,6.7,-6.6,99,99
2002,1,1,10,270,10,12.2,0.76,3.45,3.27,999,1013.7,-1.3,6.7,-6.8,99,99
2002,1,1,11,277,10,12.7,0.74,3.57,3.31,999,1013.7,-1.5,6.7,-6.9,99,99
2002,1,1,12,258,7.9,9.6,0.61,3.33,3.22,999,1013.5,-1.8,6.6,-7.3,99,99
2002,1,1,13,250,6.5,8,0.52,3.23,3.22,999,1014.3,-1.9,6.6,-7,99,99
2002,1,1,14,263,8.1,10.1,0.53,3.23,3.15,999,1014.9,-1.9,6.6,-6.5,99,99
2002,1,1,15,255,8.8,10.7,0.67,3.33,3.31,999,1014.3,-1.4,6.6,-6.4,99,99
2002,1,1,16,263,10.3,12.5,0.75,3.45,3.33,999,1012.8,-0.5,6.6,-6.4,99,99
2002,1,1,17,264,8.8,10.8,0.82,4,3.46,999,1011.9,0,6.6,-6.2,99,99
2002,1,1,18,284,11.5,14.3,0.95,3.85,3.49,999,1011.1,0.9,6.6,-7.7,99,99
2002,1,1,19,279,10.9,13,1.17,4,3.68,999,1011.5,0.8,6.6,-8.6,99,99
2002,1,1,20,274,10.3,12.6,0.97,4,3.51,999,1012,1.1,6.6,-8.9,99,99
2002,1,1,21,279,11.3,14.4,0.93,3.7,3.5,999,1012.7,1,6.6,-8.8,99,99
2002,1,1,22,279,11.1,13.2,1.03,3.7,3.58,999,1013.8,0.4,6.6,-10.2,99,99
2002,1,1,23,290,10.2,12.5,1,3.85,3.62,999,1014.7,0.1,6.6,-7.5,99,99
2002,1,2,0,296,9.7,12.9,0.99,3.7,3.44,999,1015.3,-0.3,6.6,-10.1,99,99
2002,1,2,1,283,10.3,12.7,0.87,3.57,3.42,999,1015.9,-0.7,6.6,-8.7,99,99
2002,1,2,2,279,11.2,15.4,0.81,3.7,3.45,999,1015.8,-1.1,6.4,-9.9,99,99
2002,1,2,3,280,11,14.2,0.95,3.85,3.51,999,1015.8,-1.4,6.4,-10.6,99,99
2002,1,2,4,288,11.8,15.4,1.01,3.85,3.58,999,1015.8,-1.9,6.6,-9.1,99,99
2002,1,2,5,291,10.5,13.8,0.99,3.7,3.59,999,1016.4,-2.3,6.6,-8.8,99,99
2002,1,2,6,290,9.9,12.2,0.98,3.57,3.48,999,1016.5,-2.6,6.6,-9.5,99,99
2002,1,2,7,277,9.5,12.3,0.83,3.45,3.36,999,1017.2,-2.6,6.6,-9.4,99,99
2002,1,2,8,270,10.1,12.8,0.81,3.45,3.3,999,1017.3,-2.6,6.6,-8.8,99,99
2002,1,2,9,285,11.6,14.3,0.9,3.57,3.37,999,1016.7,-2.3,6.6,-7.9,99,99
2002,1,2,10,282,11.5,14,1.1,3.7,3.54,999,1017,-2,6.6,-7.6,99,99
2002,1,2,11,274,12.2,14.5,0.95,3.7,3.46,999,1017,-1.9,6.6,-6.8,99,99
2002,1,2,12,264,11.1,13.5,0.86,3.7,3.37,999,1017.8,-2,6.6,-7.4,99,99
2002,1,2,13,262,12.2,14.2,0.87,3.85,3.43,999,1018.1,-1.8,6.6,-6.8,99,99
2002,1,2,14,266,13,15.1,0.97,3.85,3.58,999,1018.3,-1.4,6.6,-6.4,99,99
2002,1,2,15,271,11.4,13.9,1.02,4.17,3.66,999,1018.3,-1.1,6.6,-6.4,99,99
2002,1,2,16,271,10.8,12.5,1.03,4.35,3.67,999,1017.5,0,6.6,-6.4,99,99
2002,1,2,17,254,10.1,12.1,0.79,3.7,3.42,999,1016.7,0.8,6.6,-6.6,99,99
2002,1,2,18,262,10.3,12.4,0.84,3.45,3.41,999,1016.4,2,6.6,-6.6,99,99
2002,1,2,19,254,10.9,13,0.97,3.7,3.49,999,1016.4,2.9,6.6,-6,99,99
2002,1,2,20,263,10.4,13.1,99,99,99,999,1015.9,3.5,6.7,-6.9,99,99
2002,1,2,21,257,10.9,12.8,0.86,3.85,3.45,999,1015.8,3.5,6.7,-6.8,99,99
2002,1,2,22,260,11,12.9,0.86,3.57,3.35,999,1016.5,3.1,6.7,-5.9,99,99
2002,1,2,23,266,10.9,13,0.81,3.57,3.31,999,1016.9,2.4,6.7,-5.8,99,99
2002,1,3,0,242,9.4,11.2,0.81,3.7,3.27,999,1017.6,1.7,6.6,-5.8,99,99
2002,1,3,1,249,10.4,12.3,0.68,2.94,3.14,999,1017.4,1,6.6,-5.5,99,99
2002,1,3,2,262,11.2,13.7,0.78,3.33,3.26,999,1016.8,1.2,6.6,-4.7,99,99
2002,1,3,3,248,9,11.3,0.76,3.45,3.35,999,1016.7,1.1,6.6,-4.9,99,99
2002,1,3,4,242,9.1,11.2,0.68,3.45,3.26,999,1016.1,0.8,6.6,-3.8,99,99
2002,1,3,5,245,10,11.8,0.79,3.57,3.31,999,1014.9,0.4,6.4,999,99,99
2002,1,3,6,251,9.2,10.9,0.7,3.57,3.33,999,1014.8,0.3,6.4,-3.9,99,99
2002,1,3,7,246,10.9,13,0.78,3.23,3.28,999,1015,0.1,6.4,-4.4,99,99
2002,1,3,8,254,10.9,13.4,0.84,3.57,3.31,999,1015.4,0.1,6.4,-4.8,99,99
2002,1,3,9,256,10.5,12.1,0.86,3.7,3.37,999,1015,0,6.4,-4.8,99,99
2002,1,3,10,268,10.8,13.3,0.83,3.57,3.38,999,1014.1,0.4,6.4,-5,99,99
2002,1,3,11,268,10.3,11.9,0.81,3.57,3.32,999,1014.2,0.4,6.4,-4.7,99,99
2002,1,3,12,242,8.6,10.1,0.75,3.33,3.26,999,1015,0.5,6.4,-5,99,99
2002,1,3,13,252,9.4,11.1,0.67,3.45,3.18,999,1014.9,-0.2,6.4,-5.1,99,99
2002,1,3,14,252,8.9,10.9,0.7,3.45,3.27,999,1014.9,-0.2,6.4,-5.3,99,99
2002,1,3,15,246,8.7,10.5,0.74,3.45,3.23,999,1014.2,-0.4,6.4,-5.1,99,99
2002,1,3,16,251,8,10.1,0.66,3.33,3.25,999,1012.8,0.3,6.4,-5,99,99
2002,1,3,17,274,8.3,10.5,0.58,3.13,3.19,999,1011.1,1.5,6.4,-6.3,99,99
2002,1,3,18,289,7.4,9,0.54,3.23,3.11,999,1009.4,2.2,6.4,-6.3,99,99
2002,1,3,19,251,4.5,5.7,0.49,3.13,3.02,999,1009.6,2.2,6.4,-6.2,99,99
2002,1,3,20,267,5.7,6.8,0.33,2.78,2.95,999,1009.2,3.1,6.4,-7,99,99
2002,1,3,21,292,6.8,8.6,0.31,2.63,3.09,999,1008.8,3.6,6.6,-7.2,99,99
2002,1,3,22,307,9.1,10.6,0.67,3.03,3.05,999,1008.9,3.6,6.6,-5.5,99,99
