"X.YY","MM","DD","hh","mm","WDIR","WSPD","GST","WVHT","DPD","APD","MWD","PRES","ATMP","WTMP","DEWP","VIS","TIDE"
"#yr","mo","dy","hr","mn","degT","m/s","m/s","m","sec","sec","degT","hPa","degC","degC","degC","mi","ft"
"2008","12","31","23","50","326","14.4","17.3","2.52","7.14","5.27","999","1002.4","-5.3","5.6","-6.8","99.0","99.00"
"2009","01","01","00","50","316","16.7","19.7","2.65","7.14","5.05","999","1003.2","-7.7","5.6","-9.6","99.0","99.00"
"2009","01","01","01","50","307","15.7","19.0","3.01","6.25","5.27","999","1003.9","-8.7","5.6","-12.0","99.0","99.00"
"2009","01","01","02","50","315","17.0","20.7","2.65","5.88","5.19","999","1004.8","-10.1","5.5","-13.2","99.0","99.00"
"2009","01","01","03","50","315","16.5","20.8","3.05","5.56","5.34","999","1005.5","-10.6","5.5","-13.2","99.0","99.00"
"2009","01","01","04","50","310","16.3","21.8","2.77","5.26","5.19","999","1005.8","-10.8","5.5","-13.6","99.0","99.00"
"2009","01","01","05","50","313","16.2","19.7","2.84","5.56","5.22","999","1006.4","-10.8","5.5","-13.5","99.0","99.00"
"2009","01","01","06","50","313","16.9","20.2","2.87","5.88","5.23","999","1007.6","-11.1","5.5","-13.1","99.0","99.00"
"2009","01","01","07","50","315","16.0","19.3","2.74","5.56","5.15","999","1008.6","-11.3","5.5","-13.9","99.0","99.00"
"2009","01","01","08","50","315","15.4","18.7","2.59","5.26","4.91","999","1010.2","-11.5","5.5","-14.0","99.0","99.00"
"2009","01","01","09","50","313","14.8","18.5","2.49","5.26","4.82","999","1011.3","-11.5","5.5","-14.6","99.0","99.00"
"2009","01","01","10","50","312","16.2","19.6","2.47","5.26","4.81","999","1012.6","-12.1","5.5","-14.8","99.0","99.00"
"2009","01","01","11","50","309","15.6","19.5","2.44","5.26","4.93","999","1013.4","-11.7","5.5","-14.7","99.0","99.00"
"2009","01","01","12","50","309","15.0","21.3","2.41","5.56","4.87","999","1014.7","-11.8","5.2","-14.3","99.0","99.00"
"2009","01","01","13","50","304","16.1","20.8","2.19","5.26","4.71","999","1015.0","-11.5","5.2","-14.7","99.0","99.00"
"2009","01","01","14","50","303","16.4","19.6","2.26","5.26","4.66","999","1015.5","-10.4","5.2","-13.2","99.0","99.00"
"2009","01","01","15","50","307","15.2","18.9","2.35","5.26","4.85","999","1015.6","-9.6","5.4","-13.9","99.0","99.00"
"2009","01","01","16","50","311","14.6","19.0","2.12","5.26","4.66","999","1015.4","-8.9","5.5","-14.1","99.0","99.00"
"2009","01","01","17","50","301","17.1","20.9","2.55","5.26","4.83","999","1014.3","-7.8","5.5","-12.5","99.0","99.00"
"2009","01","01","18","50","303","15.8","18.8","2.16","5.00","4.69","999","1014.5","-7.3","5.5","-13.6","99.0","99.00"
"2009","01","01","19","50","297","12.3","16.4","2.03","5.00","4.53","999","1015.9","-6.6","5.5","-13.0","99.0","99.00"
"2009","01","01","20","50","293","14.7","17.7","1.91","4.76","4.40","999","1016.4","-6.0","5.5","-12.9","99.0","99.00"
"2009","01","01","21","50","289","13.1","16.1","1.39","4.35","3.96","999","1018.1","-6.0","5.5","-12.7","99.0","99.00"
"2009","01","01","22","50","295","13.0","15.6","1.50","4.76","4.03","999","1018.9","-5.6","5.5","-14.2","99.0","99.00"
"2009","01","01","23","50","292","14.0","16.6","1.53","4.55","4.13","999","1019.3","-5.7","5.5","-13.4","99.0","99.00"
"2009","01","02","00","50","304","14.7","17.9","1.79","4.76","4.42","999","1019.4","-5.9","5.5","-14.0","99.0","99.00"
"2009","01","02","01","50","303","14.1","17.6","1.52","4.55","4.10","999","1019.5","-5.9","5.2","-14.0","99.0","99.00"
"2009","01","02","02","50","301","14.7","17.5","1.59","4.55","4.14","999","1019.5","-6.3","5.2","-13.6","99.0","99.00"
"2009","01","02","03","50","306","12.5","15.7","1.55","4.76","4.08","999","1019.5","-6.0","5.2","-11.9","99.0","99.00"
