date,province,country,lat,long,type,cases
2020-01-22,NA,Denmark,56.2639,9.5018,confirmed,0
2020-01-23,NA,Denmark,56.2639,9.5018,confirmed,0
2020-01-24,NA,Denmark,56.2639,9.5018,confirmed,0
2020-01-25,NA,Denmark,56.2639,9.5018,confirmed,0
2020-01-26,NA,Denmark,56.2639,9.5018,confirmed,0
2020-01-27,NA,Denmark,56.2639,9.5018,confirmed,0
2020-01-28,NA,Denmark,56.2639,9.5018,confirmed,0
2020-01-29,NA,Denmark,56.2639,9.5018,confirmed,0
2020-01-30,NA,Denmark,56.2639,9.5018,confirmed,0
2020-01-31,NA,Denmark,56.2639,9.5018,confirmed,0
2020-02-01,NA,Denmark,56.2639,9.5018,confirmed,0
2020-02-02,NA,Denmark,56.2639,9.5018,confirmed,0
2020-02-03,NA,Denmark,56.2639,9.5018,confirmed,0
2020-02-04,NA,Denmark,56.2639,9.5018,confirmed,0
2020-02-05,NA,Denmark,56.2639,9.5018,confirmed,0
2020-02-06,NA,Denmark,56.2639,9.5018,confirmed,0
2020-02-07,NA,Denmark,56.2639,9.5018,confirmed,0
2020-02-08,NA,Denmark,56.2639,9.5018,confirmed,0
2020-02-09,NA,Denmark,56.2639,9.5018,confirmed,0
2020-02-10,NA,Denmark,56.2639,9.5018,confirmed,0
2020-02-11,NA,Denmark,56.2639,9.5018,confirmed,0
2020-02-12,NA,Denmark,56.2639,9.5018,confirmed,0
2020-02-13,NA,Denmark,56.2639,9.5018,confirmed,0
2020-02-14,NA,Denmark,56.2639,9.5018,confirmed,0
2020-02-15,NA,Denmark,56.2639,9.5018,confirmed,0
2020-02-16,NA,Denmark,56.2639,9.5018,confirmed,0
2020-02-17,NA,Denmark,56.2639,9.5018,confirmed,0
2020-02-18,NA,Denmark,56.2639,9.5018,confirmed,0
2020-02-19,NA,Denmark,56.2639,9.5018,confirmed,0
2020-02-20,NA,Denmark,56.2639,9.5018,confirmed,0
2020-02-21,NA,Denmark,56.2639,9.5018,confirmed,0
2020-02-22,NA,Denmark,56.2639,9.5018,confirmed,0
2020-02-23,NA,Denmark,56.2639,9.5018,confirmed,0
2020-02-24,NA,Denmark,56.2639,9.5018,confirmed,0
2020-02-25,NA,Denmark,56.2639,9.5018,confirmed,0
2020-02-26,NA,Denmark,56.2639,9.5018,confirmed,0
2020-02-27,NA,Denmark,56.2639,9.5018,confirmed,1
2020-02-28,NA,Denmark,56.2639,9.5018,confirmed,0
2020-02-29,NA,Denmark,56.2639,9.5018,confirmed,2
2020-03-01,NA,Denmark,56.2639,9.5018,confirmed,1
