date,total_cases
2020-01-22,555
2020-01-23,99
2020-01-24,287
2020-01-25,493
2020-01-26,684
2020-01-27,809
2020-01-28,2651
2020-01-29,589
2020-01-30,2068
2020-01-31,1692
2020-02-01,2111
2020-02-02,4749
2020-02-03,3100
2020-02-04,4011
2020-02-05,3745
2020-02-06,3160
2020-02-07,3593
2020-02-08,2734
2020-02-09,3030
2020-02-10,2609
2020-02-11,2042
2020-02-12,418
2020-02-13,15153
2020-02-14,6527
2020-02-15,2142
2020-02-16,2184
2020-02-17,2035
2020-02-18,1882
2020-02-19,500
2020-02-20,560
2020-02-21,629
2020-02-22,1761
2020-02-23,380
2020-02-24,564
2020-02-25,853
2020-02-26,977
2020-02-27,1360
2020-02-28,1385
2020-02-29,1893
2020-03-01,2383
2020-03-02,1978
2020-03-03,2584
2020-03-04,2317
2020-03-05,2764
2020-03-06,4000
2020-03-07,4062
2020-03-08,3960
2020-03-09,3963
2020-03-10,5011
2020-03-11,7681
2020-03-12,5789
2020-03-13,14381
2020-03-14,11078
2020-03-15,11293
2020-03-16,14744
2020-03-17,15931
2020-03-18,19533
2020-03-19,27156
2020-03-20,30635
2020-03-21,31969
2020-03-22,34238
2020-03-23,43368
2020-03-24,41472
2020-03-25,50984
2020-03-26,62726
2020-03-27,64991
2020-03-28,67382
2020-03-29,59399
2020-03-30,65237
2020-03-31,76829
2020-04-01,76526
2020-04-02,81331
2020-04-03,83253
2020-04-04,80354
2020-04-05,71977
2020-04-06,73234
2020-04-07,77740
2020-04-08,84031
2020-04-09,86481
2020-04-10,87540
2020-04-11,76216
2020-04-12,95353
2020-04-13,70145
2020-04-14,71346
2020-04-15,81873
2020-04-16,96921
2020-04-17,87813
2020-04-18,73394
2020-04-19,79972
2020-04-20,74503
2020-04-21,75879
2020-04-22,78019
2020-04-23,88243
2020-04-24,84187
2020-04-25,83681
2020-04-26,72191
2020-04-27,69704
2020-04-28,75492
2020-04-29,77489
2020-04-30,83404
2020-05-01,87217
2020-05-02,80220
2020-05-03,76559
2020-05-04,77100
2020-05-05,80532
2020-05-06,89958
2020-05-07,89076
2020-05-08,91280
2020-05-09,84935
2020-05-10,75215
2020-05-11,76919
2020-05-12,84293
2020-05-13,84848
2020-05-14,96771
2020-05-15,96425
2020-05-16,94227
2020-05-17,77429
2020-05-18,88734
2020-05-19,97221
2020-05-20,102815
2020-05-21,106605
2020-05-22,106092
2020-05-23,104688
2020-05-24,94566
2020-05-25,86397
2020-05-26,93314
2020-05-27,103060
2020-05-28,119582
2020-05-29,121043
2020-05-30,137018
2020-05-31,106659
2020-06-01,95594
2020-06-02,121442
2020-06-03,118175
2020-06-04,127303
2020-06-05,130903
2020-06-06,134894
2020-06-07,111971
2020-06-08,102531
2020-06-09,124761
2020-06-10,134575
2020-06-11,138192
2020-06-12,128604
2020-06-13,135461
2020-06-14,132762
2020-06-15,119818
2020-06-16,141902
2020-06-17,142562
2020-06-18,140403
2020-06-19,179914
2020-06-20,157328
2020-06-21,128348
2020-06-22,137938
2020-06-23,165401
2020-06-24,170970
2020-06-25,178380
2020-06-26,191439
2020-06-27,178585
2020-06-28,161895
2020-06-29,156233
2020-06-30,174268
2020-07-01,217248
2020-07-02,208147
2020-07-03,202736
2020-07-04,193919
2020-07-05,182996
2020-07-06,165649
2020-07-07,210980
2020-07-08,212406
2020-07-09,228117
2020-07-10,232316
2020-07-11,216417
2020-07-12,192645
2020-07-13,192316
2020-07-14,221339
2020-07-15,231227
2020-07-16,252684
2020-07-17,242265
2020-07-18,236900
2020-07-19,214202
2020-07-20,206732
2020-07-21,233642
2020-07-22,280851
2020-07-23,283112
2020-07-24,280595
2020-07-25,255726
2020-07-26,213218
2020-07-27,226306
2020-07-28,252473
2020-07-29,289713
2020-07-30,280421
2020-07-31,290323
2020-08-01,250661
2020-08-02,228447
2020-08-03,201539
2020-08-04,258682
2020-08-05,272295
2020-08-06,284888
2020-08-07,281085
2020-08-08,259446
2020-08-09,223628
2020-08-10,227340
2020-08-11,255103
2020-08-12,278080
2020-08-13,286213
2020-08-14,304460
2020-08-15,247866
2020-08-16,212057
2020-08-17,210051
2020-08-18,256379
2020-08-19,274599
2020-08-20,267336
2020-08-21,269860
2020-08-22,265493
2020-08-23,205631
2020-08-24,226413
2020-08-25,241990
2020-08-26,289002
2020-08-27,279254
2020-08-28,281664
2020-08-29,260997
2020-08-30,226394
2020-08-31,262535
2020-09-01,264300
2020-09-02,282815
2020-09-03,280924
2020-09-04,312845
2020-09-05,263289
2020-09-06,222140
2020-09-07,233801
2020-09-08,241407
2020-09-09,284385
2020-09-10,299289
2020-09-11,319913
2020-09-12,277346
2020-09-13,236125
2020-09-14,279750
2020-09-15,283867
2020-09-16,304929
2020-09-17,313784
2020-09-18,323476
2020-09-19,281159
2020-09-20,240812
2020-09-21,299382
2020-09-22,279267
2020-09-23,267083
2020-09-24,361034
2020-09-25,330380
2020-09-26,277484
2020-09-27,240255
2020-09-28,277089
2020-09-29,284035
2020-09-30,327027
2020-10-01,317393
2020-10-02,295488
2020-10-03,319999
2020-10-04,247832
2020-10-05,330022
2020-10-06,323354
2020-10-07,349250
2020-10-08,359483
2020-10-09,360884
2020-10-10,330868
2020-10-11,268471
2020-10-12,326215
2020-10-13,328397
2020-10-14,380642
2020-10-15,406677
2020-10-16,411335
2020-10-17,341687
2020-10-18,284803
2020-10-19,439892
2020-10-20,387922
2020-10-21,443764
2020-10-22,468662
2020-10-23,506713
2020-10-24,410890
2020-10-25,345332
2020-10-26,537851
2020-10-27,466936
2020-10-28,517010
2020-10-29,536687
