Film,Gender,Race,Words
The Fellowship Of The Ring,Female,Elf,1229
The Fellowship Of The Ring,Female,Hobbit,14
The Fellowship Of The Ring,Female,Man,0
The Two Towers,Female,Elf,331
The Two Towers,Female,Hobbit,0
The Two Towers,Female,Man,401
The Return Of The King,Female,Elf,183
The Return Of The King,Female,Hobbit,2
The Return Of The King,Female,Man,268
The Fellowship Of The Ring,Male,Elf,971
The Fellowship Of The Ring,Male,Hobbit,3644
The Fellowship Of The Ring,Male,Man,1995
The Two Towers,Male,Elf,513
The Two Towers,Male,Hobbit,2463
The Two Towers,Male,Man,3589
The Return Of The King,Male,Elf,510
The Return Of The King,Male,Hobbit,2673
The Return Of The King,Male,Man,2459
